last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Kiermaier, Kevin,2020,.249,.376,.316,.348,.127,87.7,-0.4,6.3,
Peterson, Jace,2020,.190,.362,.339,.391,.171,89.2,7.4,7.7,
Braun, Ryan,2020,.272,.475,.325,.318,.203,89.8,15.3,11.7,
Markakis, Nick,2020,.280,.369,.301,.336,.090,89,9.5,1.9,
Severino, Pedro,2020,.270,.433,.326,.340,.163,87.6,9.5,7.4,
Reynolds, Bryan,2020,.228,.400,.302,.310,.173,87.5,10.2,10.2,
O'Hearn, Ryan,2020,.231,.388,.307,.337,.157,90.7,11.9,6.5,
Knapp, Andrew,2020,.265,.415,.353,.400,.150,86.8,11.9,7.4,
Gosselin, Phil,2020,.237,.362,.286,.312,.125,85.3,13.8,6.2,
Varsho, Daulton,2020,.196,.344,.277,.293,.148,86.2,18.4,4.4,
White, Evan,2020,.189,.383,.277,.269,.193,91.7,13.7,14.1,
Rendon, Anthony,2020,.288,.471,.375,.420,.183,90.1,19.5,6.3,
Bradley Jr., Jackie,2020,.230,.376,.299,.319,.146,88.3,4.4,7.6,
Pederson, Joc,2020,.238,.446,.325,.328,.208,93,12.5,10.3,
Walsh, Jared,2020,.268,.527,.337,.306,.259,88.1,13.1,12.6,
Dickerson, Alex,2020,.272,.500,.346,.349,.228,90.9,17.8,10.7,
Andujar, Miguel,2020,.236,.351,.268,.271,.116,85.9,13.9,3.8,
Hoskins, Rhys,2020,.238,.512,.368,.379,.274,89.8,24.8,14.8,
Naylor, Josh,2020,.278,.382,.300,.320,.104,86.8,7.8,3.5,
Arenado, Nolan,2020,.236,.389,.275,.289,.153,87.8,19.1,5.4,
Ford, Mike,2020,.234,.395,.299,.315,.161,89.7,8.4,6.8,
Choo, Shin-Soo,2020,.251,.454,.324,.336,.203,90,11.4,10.1,
Perez, Salvador,2020,.325,.624,.387,.347,.299,91,14.2,13.9,
Cronenworth, Jake,2020,.324,.541,.383,.390,.217,89.8,10.6,10.5,
Robles, Victor,2020,.202,.280,.254,.281,.078,82.2,19,1.7,
Camargo, Johan,2020,.187,.317,.233,.231,.131,87.3,9.8,4.7,
Cameron, Daz,2020,.197,.274,.212,.224,.078,87.1,9.3,2.6,
Jansen, Danny,2020,.244,.437,.339,.364,.193,85.1,16.3,8.6,
Franco, Maikel,2020,.259,.401,.296,.307,.142,86.7,8.4,5.8,
Sogard, Eric,2020,.260,.314,.287,.330,.053,84.4,15.2,0.0,
Diaz, Elias,2020,.268,.403,.299,.318,.135,87.4,12.9,11.3,
Stewart, Christin,2020,.209,.369,.263,.264,.160,85.7,24.5,11.5,
Hayes, Ke'Bryan,2020,.300,.497,.356,.375,.197,92.8,7.4,9.2,
Bohm, Alec,2020,.286,.464,.343,.355,.178,90.2,4.8,10.3,
Joyce, Matt,2020,.226,.337,.300,.335,.110,86.7,12.5,3.4,
Long Jr., Shed,2020,.177,.307,.242,.248,.130,87.1,2.6,6.3,
Lopes, Tim,2020,.234,.347,.266,.275,.112,87.2,6.5,2.8,
Gamel, Ben,2020,.269,.409,.318,.343,.140,87.9,11.5,6.7,
Jimenez, Eloy,2020,.285,.546,.355,.325,.261,92.4,5.7,16.5,
Wade, Tyler,2020,.243,.329,.303,.350,.086,86.6,13.4,1.5,
Solak, Nick,2020,.264,.391,.311,.326,.127,89.9,9.4,4.7,
Heineman, Scott,2020,.208,.321,.235,.237,.113,87,8.3,4.9,
Vogelbach, Daniel,2020,.234,.413,.324,.353,.180,89.5,10.2,8.5,
Mercado, Oscar,2020,.159,.226,.190,.203,.067,88.2,14.4,1.6,
Frazier, Todd,2020,.227,.373,.281,.296,.147,87.8,20.5,5.2,
Rizzo, Anthony,2020,.266,.412,.339,.382,.146,87.7,16.7,7.8,
Bruce, Jay,2020,.237,.473,.306,.289,.236,89,15.3,9.7,
Ramirez, Jose,2020,.265,.510,.358,.363,.246,88.7,23.2,10.2,
Tejeda, Anderson,2020,.193,.378,.239,.214,.185,90.8,14.3,13.3,
Seager, Kyle,2020,.253,.473,.350,.372,.219,89.1,17.7,10.2,
Cruz, Nelson,2020,.269,.543,.363,.369,.273,91.6,9.4,15.0,
Madrigal, Nick,2020,.304,.355,.308,.342,.051,84,4.1,0.0,
Espinal, Santiago,2020,.247,.350,.273,.293,.104,87.3,14.5,2.2,
Canha, Mark,2020,.241,.413,.345,.387,.172,89.7,19.4,7.7,
Blackmon, Charlie,2020,.274,.421,.317,.338,.147,86.9,13.5,4.9,
McBroom, Ryan,2020,.217,.457,.287,.254,.239,89,20.1,13.7,
Machin, Vimael,2020,.293,.397,.331,.372,.104,89.9,6.4,0.0,
Walker, Christian,2020,.266,.454,.323,.332,.187,90.4,11.5,6.4,
Avila, Alex,2020,.197,.327,.310,.365,.131,85.3,12.6,3.7,
Riddle, JT,2020,.215,.345,.251,.238,.131,88.8,6.8,3.7,
Chirinos, Robinson,2020,.171,.263,.225,.247,.092,84.5,13.8,1.9,
Fuentes, Josh,2020,.253,.339,.259,.272,.086,84,10.6,1.4,
Riley, Austin,2020,.262,.471,.325,.322,.209,91,13.6,10.0,
Sierra, Magneuris,2020,.237,.289,.292,.335,.052,83.7,3.8,0.0,
Swanson, Dansby,2020,.266,.471,.337,.340,.205,89.1,14.7,11.4,
Marte, Starling,2020,.261,.412,.313,.323,.151,87.1,6.5,6.4,
Guzman, Ronald,2020,.237,.419,.304,.308,.182,86.3,6,7.4,
Adell, Jo,2020,.175,.291,.222,.226,.116,90.6,11.4,4.3,
Lowe, Brandon,2020,.264,.555,.369,.358,.291,89.8,18.1,17.5,
Polanco, Gregory,2020,.222,.414,.284,.280,.192,92.9,20.8,12.6,
Laureano, Ramon,2020,.235,.410,.331,.357,.175,87.7,12.3,9.4,
Margot, Manuel,2020,.255,.377,.300,.315,.121,89.4,7.5,4.1,
Newman, Kevin,2020,.254,.336,.283,.311,.082,85.5,8.7,0.7,
Alberto, Hanser,2020,.247,.322,.255,.272,.076,82.3,13.2,1.0,
Chapman, Matt,2020,.245,.539,.329,.290,.294,93.6,24.1,18.0,
Dubon, Mauricio,2020,.257,.403,.305,.324,.146,86.2,16.7,4.0,
Ruiz, Rio,2020,.216,.359,.267,.281,.144,87.9,10.5,8.5,
Phillips, Brett,2020,.231,.351,.300,.335,.120,84.9,13.7,8.3,
Adams, Matt,2020,.199,.382,.250,.230,.183,90.1,21.4,9.7,
Buxton, Byron,2020,.249,.551,.320,.262,.301,91.2,23.6,13.5,
Jay, Jon,2020,.221,.360,.266,.271,.138,84.8,12.4,4.9,
Grichuk, Randal,2020,.270,.469,.320,.313,.199,88.9,12.6,11.2,
DeJong, Paul,2020,.240,.408,.303,.316,.168,89.2,21.7,7.5,
Bichette, Bo,2020,.291,.523,.337,.319,.232,89.2,12,12.5,
Perez, Michael,2020,.232,.404,.289,.296,.172,87.3,14.5,10.3,
Smith, Will,2020,.289,.538,.386,.407,.249,90.8,24.2,12.9,
Solano, Donovan,2020,.281,.419,.307,.322,.138,88.5,15.5,4.6,
Turner, Trea,2020,.307,.521,.372,.372,.214,90.5,9.5,9.5,
McCutchen, Andrew,2020,.277,.485,.343,.347,.207,89.7,18.2,8.2,
Tauchman, Mike,2020,.253,.327,.293,.353,.074,84.9,10.6,1.4,
Urshela, Gio,2020,.315,.494,.364,.387,.179,91.4,12.3,6.9,
Taveras, Leody,2020,.230,.374,.291,.311,.144,88.9,14.3,6.5,
Valaika, Pat,2020,.264,.463,.314,.304,.199,88.7,18.2,8.3,
Estrada, Thairo,2020,.202,.295,.248,.263,.093,83.5,2.9,3.4,
Panik, Joe,2020,.250,.356,.316,.363,.106,87.5,9.3,1.1,
Seager, Corey,2020,.330,.653,.410,.381,.323,93.2,11.9,15.8,
Odor, Rougned,2020,.193,.421,.266,.239,.228,86,20.7,11.8,
Nola, Austin,2020,.279,.463,.343,.361,.184,89.7,12.5,7.8,
Sanchez, Gary,2020,.193,.431,.299,.294,.237,91.8,19.2,17.4,
Ozuna, Marcell,2020,.315,.638,.417,.412,.323,93,16.4,15.4,
Goldschmidt, Paul,2020,.287,.513,.380,.404,.226,89.2,11.7,10.7,
Bemboom, Anthony,2020,.198,.315,.287,.323,.117,86.7,11.8,2.6,
Quinn, Roman,2020,.201,.275,.235,.251,.074,85.8,9.7,2.9,
Ward, Taylor,2020,.251,.400,.297,.309,.149,91.1,10.4,4.5,
Gregorius, Didi,2020,.261,.396,.298,.320,.135,83.8,17.8,4.2,
Suarez, Eugenio,2020,.218,.475,.328,.326,.258,89.1,17.9,14.4,
Barnes, Austin,2020,.194,.281,.269,.310,.088,86.9,16.2,1.5,
Nottingham, Jacob,2020,.193,.402,.289,.283,.208,87,20.1,14.3,
Betts, Mookie,2020,.285,.487,.349,.360,.203,90.7,18.5,7.7,
Voit, Luke,2020,.284,.593,.374,.345,.310,88.9,15.2,13.1,
Candelario, Jeimer,2020,.277,.469,.340,.351,.192,90.2,13.3,10.3,
Naquin, Tyler,2020,.268,.474,.313,.297,.206,91.7,13,9.5,
Hosmer, Eric,2020,.291,.521,.354,.340,.230,90.8,8.7,10.3,
McCann, James,2020,.258,.455,.329,.338,.198,90.5,15,8.7,
Guerrero Jr., Vladimir,2020,.263,.441,.321,.330,.177,92.5,4.6,8.7,
Zunino, Mike,2020,.148,.368,.251,.240,.220,87.5,26.9,15.8,
Starling, Bubba,2020,.186,.242,.214,.237,.056,84.2,8.1,3.0,
Mullins, Cedric,2020,.209,.296,.243,.258,.086,88.6,15.6,2.8,
Kepler, Max,2020,.258,.428,.329,.350,.169,88.5,21.9,5.1,
Arroyo, Christian,2020,.217,.402,.285,.275,.185,89.9,7.8,7.7,
Biggio, Cavan,2020,.215,.347,.307,.346,.131,87.4,16.7,5.0,
Reddick, Josh,2020,.247,.360,.291,.320,.112,85.9,19.1,4.8,
Tapia, Raimel,2020,.252,.330,.286,.312,.078,85.3,1.8,2.0,
Gonzalez, Erik,2020,.239,.396,.283,.278,.157,88.5,5.5,6.7,
Hays, Austin,2020,.246,.355,.282,.300,.109,87,11,4.0,
Jones, JaCoby,2020,.238,.425,.308,.309,.187,89.5,11,10.9,
Akiyama, Shogo,2020,.245,.325,.309,.357,.081,85.1,2.9,0.8,
Gimenez, Andres,2020,.246,.361,.296,.319,.115,86.8,13.5,3.3,
Meadows, Austin,2020,.182,.341,.263,.278,.159,90.1,24.4,7.1,
Garver, Mitch,2020,.174,.287,.231,.253,.113,92.4,18.6,8.3,
Castro, Harold,2020,.277,.414,.321,.344,.137,89,11.6,2.6,
Reyes, Victor,2020,.287,.428,.317,.324,.141,90,10.7,3.8,
Bellinger, Cody,2020,.284,.497,.360,.374,.213,89.3,16.6,9.4,
Crawford, Brandon,2020,.238,.402,.298,.313,.164,88.7,12.4,9.4,
Correa, Carlos,2020,.256,.406,.306,.322,.149,88.6,11.4,5.9,
Santana, Danny,2020,.185,.351,.273,.281,.166,90.9,14.7,9.4,
Contreras, Willson,2020,.249,.441,.341,.361,.192,89.8,9.1,10.4,
Bogaerts, Xander,2020,.259,.472,.327,.327,.213,89,8.7,8.6,
Locastro, Tim,2020,.268,.378,.335,.377,.110,85.6,17.3,1.8,
Dietrich, Derek,2020,.240,.480,.362,.382,.240,85.4,12.6,12.5,
Garcia, Luis,2020,.268,.378,.286,.294,.110,83.5,-3.6,4.8,
Tatis Jr., Fernando,2020,.298,.612,.404,.387,.313,95.9,8.7,19.5,
Pinder, Chad,2020,.247,.456,.319,.308,.209,92.3,13.7,9.3,
Springer, George,2020,.294,.570,.387,.385,.276,88.7,18.3,12.4,
Rios, Edwin,2020,.285,.639,.382,.334,.355,91.5,14.5,13.6,
Cano, Robinson,2020,.301,.487,.341,.341,.186,90.4,6.2,7.4,
Bryant, Kris,2020,.202,.348,.275,.289,.146,86.1,20.7,5.5,
Alfaro, Jorge,2020,.223,.383,.275,.277,.161,89.2,2.8,7.0,
Perez, Roberto,2020,.201,.283,.260,.295,.083,86,-2.5,3.4,
Greiner, Grayson,2020,.187,.386,.261,.247,.198,90.4,25.7,9.7,
Machado, Manny,2020,.304,.539,.368,.375,.235,90.2,15.6,11.0,
Mondesi, Adalberto,2020,.208,.348,.255,.249,.140,90.6,13.7,7.3,
Tucker, Kyle,2020,.267,.459,.318,.323,.192,91.1,14.9,9.1,
Vargas, Ildemaro,2020,.206,.290,.227,.234,.084,85.3,2.1,2.4,
Brosseau, Mike,2020,.225,.420,.306,.311,.195,90.9,15.1,8.9,
Kendrick, Howie,2020,.284,.452,.320,.335,.168,88.8,7.3,6.6,
Marmolejos, Jose,2020,.233,.446,.300,.287,.213,90.5,10.5,12.0,
Smith, Dwight,2020,.198,.310,.254,.287,.111,89.9,8.1,6.7,
Chavis, Michael,2020,.224,.391,.279,.275,.166,88.3,10,7.1,
Kipnis, Jason,2020,.183,.339,.275,.296,.156,86.2,18.2,9.3,
Guillorme, Luis,2020,.252,.341,.309,.361,.089,89.8,10.7,2.4,
Garcia, Leury,2020,.263,.454,.318,.310,.192,87.3,7.5,6.0,
Olson, Matt,2020,.224,.455,.326,.336,.231,92.3,19.6,12.8,
Goodrum, Niko,2020,.185,.339,.256,.265,.154,88.8,16,9.8,
Albies, Ozzie,2020,.240,.420,.291,.277,.180,86.7,17.8,9.1,
Trout, Mike,2020,.292,.613,.408,.405,.321,93.7,23.1,15.0,
Flores, Wilmer,2020,.251,.439,.300,.299,.188,87.9,19,6.1,
Tellez, Rowdy,2020,.286,.510,.353,.355,.224,90.7,10.6,8.4,
Choi, Ji-Man,2020,.195,.307,.267,.308,.112,89,15.7,3.4,
Thames, Eric,2020,.219,.377,.292,.314,.158,88.7,14.6,6.2,
Bregman, Alex,2020,.256,.400,.327,.364,.144,88.9,17.3,3.9,
Osuna, Jose,2020,.267,.470,.313,.303,.204,89.1,14.7,12.9,
Renfroe, Hunter,2020,.198,.408,.293,.291,.210,89.4,17.3,9.3,
Stanton, Giancarlo,2020,.296,.526,.396,.425,.229,91.1,8.3,18.4,
Bart, Joey,2020,.201,.294,.240,.258,.093,89,12.6,4.8,
Miller, Brad,2020,.253,.483,.364,.378,.230,89.8,11.2,13.4,
Garcia, Avisail,2020,.243,.374,.306,.338,.130,87.4,8.7,3.8,
Happ, Ian,2020,.262,.470,.348,.365,.208,91.1,9,10.3,
Bote, David,2020,.233,.415,.318,.333,.181,92.4,9.3,10.5,
Winker, Jesse,2020,.267,.528,.383,.399,.261,92.1,10.5,13.5,
Mazara, Nomar,2020,.223,.365,.281,.290,.142,91,6.7,7.6,
Arozarena, Randy,2020,.253,.496,.355,.358,.243,90.3,9.2,14.0,
White, Eli,2020,.224,.295,.250,.272,.071,88.1,15.4,3.0,
Frazier, Clint,2020,.247,.449,.348,.377,.202,89.4,11.6,12.5,
Turner, Justin,2020,.299,.553,.386,.394,.254,90.3,17.5,11.2,
Grossman, Robbie,2020,.240,.398,.315,.343,.158,89,15.2,5.5,
Conforto, Michael,2020,.284,.475,.359,.379,.192,88.4,11,11.0,
Pillar, Kevin,2020,.270,.432,.312,.320,.162,87.1,13.4,5.4,
Urias, Luis,2020,.226,.294,.263,.297,.068,87.7,2.3,1.3,
Profar, Jurickson,2020,.284,.413,.329,.352,.129,87.2,11,3.2,
Luplow, Jordan,2020,.203,.368,.293,.314,.165,83.5,24.7,6.7,
Maldonado, Martin,2020,.206,.362,.307,.342,.156,86.1,19.1,8.1,
Dalbec, Bobby,2020,.199,.533,.334,.303,.334,89.9,14.8,22.0,
Adrianza, Ehire,2020,.201,.309,.267,.297,.108,85.9,16,3.0,
Kieboom, Carter,2020,.180,.220,.267,.330,.040,85.1,11.9,0.0,
Martinez, Jose,2020,.220,.361,.281,.299,.142,87.9,6.2,4.9,
Longoria, Evan,2020,.284,.530,.354,.331,.246,91.7,10.7,11.5,
Mendick, Danny,2020,.222,.309,.250,.263,.087,86.2,7.4,2.4,
Strange-Gordon, Dee,2020,.227,.260,.256,.294,.033,79.2,14.1,0.0,
Stassi, Max,2020,.271,.568,.371,.354,.297,91.6,15,11.1,
Goodwin, Brian,2020,.212,.383,.286,.300,.170,89.9,20.7,10.9,
Cabrera, Miguel,2020,.291,.522,.361,.368,.231,93.2,12.1,9.7,
Martinez, J.D.,2020,.231,.447,.304,.307,.216,89.5,14.7,11.0,
Abreu, Jose,2020,.300,.585,.379,.358,.285,92.9,10.9,14.3,
Brinson, Lewis,2020,.246,.382,.284,.286,.136,88.1,7.9,7.9,
Altuve, Jose,2020,.230,.352,.280,.297,.122,86.7,9.3,4.6,
Narvaez, Omar,2020,.173,.294,.262,.291,.121,81.6,18.7,7.2,
Velazquez, Andrew,2020,.148,.227,.232,.265,.079,82.4,6.7,4.5,